canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
618353,4,1,RAILWAYS,904.04,29.0,RAILWAYS,6.807979141618211
618354,5,1,RAILWAYS,846.82,27.0,RAILWAYS,6.742668349109737
618355,2,1,RAILWAYS,483.87,20.0,RAILWAYS,6.183880813770897
618356,2,1,RAILWAYS,234.08,21.0,RAILWAYS,5.45992588174445
618357,2,1,RAILWAYS,477.86,21.0,RAILWAYS,6.171408279115973
618358,2,1,RAILWAYS,311.18,20.0,RAILWAYS,5.743579944530267
618359,2,1,RAILWAYS,665.47,48.0,RAILWAYS,6.501995127352913
618362,2,1,RAILWAYS,698.44,21.0,RAILWAYS,6.5502800148726354
618363,2,1,RAILWAYS,740.58,22.0,RAILWAYS,6.608783045171694
618364,8,0,RAILWAYS,430.24,38.0,RAILWAYS,6.066664779670917
618365,8,0,RAILWAYS,497.18,38.0,RAILWAYS,6.210961457501995
618366,8,0,RAILWAYS,442.54,38.0,RAILWAYS,6.094787989339883
618367,6,1,PETROLEUM,726.9,35.0,PETROLEUM,6.590163676124212
618368,7,1,PETROLEUM,670.9,32.0,PETROLEUM,6.510109519926104
618369,7,1,PETROLEUM,657.21,32.0,PETROLEUM,6.489524029344299
618370,5,1,PETROLEUM,431.78,30.0,PETROLEUM,6.070229515743637
618371,2,1,RAILWAYS,613.89,35.0,RAILWAYS,6.421443390020222
618372,2,1,RAILWAYS,909.02,34.0,RAILWAYS,6.8134665772913605
618373,2,1,RAILWAYS,4997.04,94.0,RAILWAYS,8.516801114564153
618374,2,1,"DEPARTMENT
OF HIGHER
EDUCATION",284.21,37.0,"DEPARTMENT
OF HIGHER
EDUCATION",5.653225751039049
618375,2,1,"DEPARTMENT
OF HIGHER
EDUCATION",445.51,37.0,"DEPARTMENT
OF HIGHER
EDUCATION",6.101461796482331
618376,2,1,"DEPARTMENT
OF HIGHER
EDUCATION",525.68,37.0,"DEPARTMENT
OF HIGHER
EDUCATION",6.2665931534881425
618377,5,1,"DEPARTMENT
OF HIGHER
EDUCATION",351.12,37.0,"DEPARTMENT
OF HIGHER
EDUCATION",5.863972026592705
618379,7,1,RAILWAYS,473.18,72.0,RAILWAYS,6.161586996444939
618380,2,1,RAILWAYS,519.09,72.0,RAILWAYS,6.254001873522467
618381,2,1,RAILWAYS,518.53,74.0,RAILWAYS,6.252924556706396
618382,2,1,RAILWAYS,404.29,84.0,RAILWAYS,6.00460286024821
618383,2,1,RAILWAYS,428.11,77.0,RAILWAYS,6.061713296316936
618384,2,1,RAILWAYS,537.82,72.0,RAILWAYS,6.289381563372166
618385,2,1,PETROLEUM,174.43,73.0,PETROLEUM,5.1672401029410935
618386,6,0,Roads & Highways,277.5,23.0,Roads & Highways,5.629418059367339
618387,5,1,RAILWAYS,578.98,35.0,RAILWAYS,6.3629936201873
618388,2,1,RAILWAYS,315.56,40.0,RAILWAYS,5.757512797077169
618389,2,1,RAILWAYS,310.76,29.0,RAILWAYS,5.742233661030454
618390,2,1,RAILWAYS,1383.78,52.0,RAILWAYS,7.23329656123893
618391,5,1,RAILWAYS,250.33,24.0,RAILWAYS,5.526766816652428
618392,6,1,RAILWAYS,259.64,30.0,RAILWAYS,5.563140144853735
618393,8,1,RAILWAYS,216.88,24.0,RAILWAYS,5.383944452515474
618394,2,1,POWER,228.39,21.0,POWER,5.435423611766036
618395,2,1,POWER,512.43,19.0,POWER,6.241113700699456
618396,6,0,Roads & Highways,486.45,7.0,Roads & Highways,6.189187721075281
618397,5,1,Roads & Highways,255.9,32.0,Roads & Highways,5.548686904115838
618398,2,1,POWER,210.79,21.0,POWER,5.35559521769951
618399,2,1,POWER,859.67,25.0,POWER,6.75771115569767
618400,5,1,POWER,398.51,21.0,POWER,5.9902387961821635
