canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
612916,11.0,0,Education,490.63,49.0,Other,6.197726401053676
613002,11.0,0,Oil & Gas,842.0,41.0,Oil & Gas,6.736966958001855
613003,5.0,0,Oil & Gas,1686.26,49.0,Oil & Gas,7.4308611904099235
613008,11.0,0,Education,305.0,42.0,Other,5.723585101952381
613013,11.0,0,Education,275.63,159.0,Other,5.622680873219159
613015,11.0,0,Oil & Gas,1813.0,44.0,Oil & Gas,7.503289630675082
613785,11.0,0,Oil & Gas,4744.0,54.0,Oil & Gas,8.464846711044029
613786,11.0,0,Oil & Gas,2379.0,52.0,Oil & Gas,7.77485576666552
613787,11.0,0,Telecommunication,2584.1,74.0,Other,7.8575194709138305
613788,0.5,0,Oil & Gas,1473.77,55.0,Oil & Gas,7.29625732441184
613793,4.0,1,CIVIL AVIATION,483.65,71.0,CIVIL AVIATION,6.183426980938617
613794,12.0,0,CIVIL AVIATION,389.1,74.0,CIVIL AVIATION,5.966403116512611
613795,3.0,0,Coal,278.64,58.0,Other,5.6335030616437844
613798,12.0,0,"URBAN
DEVELOPMENT",335.97,37.0,Other,5.819993905618264
613799,12.0,0,"URBAN
DEVELOPMENT",316.1,56.0,Other,5.759217181544302
613800,9.0,1,"URBAN
DEVELOPMENT",459.49,44.0,Other,6.132291139932975
613801,5.0,1,"URBAN
DEVELOPMENT",410.26,94.0,Other,6.0192256178933725
613802,6.0,1,CIVIL AVIATION,371.04,75.0,CIVIL AVIATION,5.9190013753742665
613803,1.0,1,"URBAN
DEVELOPMENT",366.94,62.0,Other,5.907919881397637
613804,12.0,0,CIVIL AVIATION,314.09,63.0,CIVIL AVIATION,5.752858312302793
613808,1.0,1,POWER,339.88,38.0,POWER,5.831530509191657
615183,1.0,1,COAL,491.67,45.0,COAL,6.199839578717014
615184,12.0,0,CIVIL AVIATION,228.64,74.0,CIVIL AVIATION,5.436512865299436
615185,12.0,0,CIVIL AVIATION,399.2,54.0,CIVIL AVIATION,5.991964422149633
615186,12.0,1,CIVIL AVIATION,319.04,67.0,CIVIL AVIATION,5.768445987981924
615187,12.0,0,CIVIL AVIATION,220.62,76.0,CIVIL AVIATION,5.400964203508179
615188,12.0,0,CIVIL AVIATION,402.27,54.0,CIVIL AVIATION,5.999606312799605
615189,12.0,1,CIVIL AVIATION,361.87,45.0,CIVIL AVIATION,5.894044643400399
615190,12.0,0,CIVIL AVIATION,335.75,82.0,CIVIL AVIATION,5.819340815290474
615191,12.0,0,"URBAN
DEVELOPMENT",329.22,74.0,Other,5.799759099003687
615192,12.0,1,CIVIL AVIATION,309.58,59.0,CIVIL AVIATION,5.738441517141043
615193,1.0,1,RAILWAYS,479.15,58.0,RAILWAYS,6.174098555083981
615194,12.0,0,CIVIL AVIATION,206.88,98.0,CIVIL AVIATION,5.336960990140241
615195,12.0,0,CIVIL AVIATION,166.25,54.0,CIVIL AVIATION,5.119489699008338
615199,12.0,0,CIVIL AVIATION,198.71,42.0,CIVIL AVIATION,5.296866314280722
615202,11.0,0,Metals & Mining,1700.0,77.0,Other,7.438971592395862
615206,12.0,1,CIVIL AVIATION,414.16,79.0,CIVIL AVIATION,6.0286639880970885
615327,1.0,1,COAL,218.03,25.0,COAL,5.389208706736104
615330,12.0,0,CIVIL AVIATION,360.18,75.0,CIVIL AVIATION,5.889376449024197
615331,11.0,0,Coal,497.41,77.0,Other,6.211423031477417
615332,3.0,1,COAL,3279.0,24.0,COAL,8.09559870137819
615333,9.0,1,COAL,2227.0,24.0,COAL,7.708859601047175
615334,3.0,1,COAL,3251.0,24.0,COAL,8.087025470667701
615335,5.0,1,COAL,1382.0,24.0,COAL,7.232010331664759
