bucket,mean_pred,actual_rate,n
"(0.149, 0.158]",0.15326630904280958,0.046511627906976744,258
"(0.158, 0.19]",0.16984719386740127,0.07003891050583658,257
"(0.19, 0.279]",0.2212725558207368,0.12790697674418605,258
"(0.279, 0.595]",0.4320008539890336,0.45136186770428016,257
"(0.595, 0.707]",0.6623769799407634,0.8992248062015504,258
